name,start,stop,tier
i,30.0,30.044037740461587,focus
i,30.123550327405386,30.168199703151004,focus
i,30.25395441749515,30.29474280671661,focus
i,30.56813218783759,30.60701457756272,focus
i,30.68325455741683,30.72671134593338,focus
i,30.945589141457962,30.994382728564464,focus
a,31.03963922551497,31.123183517669762,focus
b,31.148827816774656,31.30998901455496,focus
c,31.342767563255396,31.44929784653391,focus
d,31.490271032410423,31.59133822423837,focus
e,31.64050604728982,31.786643743581863,focus
a,31.89453979972291,31.976486171475702,focus
b,32.00653317445108,32.169060145094136,focus
c,32.19910714806997,32.30836897707309,focus
d,32.34661061722454,32.45996976481547,focus
et,32.500942950691524,32.652543738433906,focus
i,92.65254373843435,92.69032829374737,focus
i,92.98900620716906,93.03038929155899,focus
i,93.19532187427104,93.237304713507,focus
i,93.3416620567505,93.3878431799112,focus
i,93.44362038060899,93.4939997876918,focus
a,93.54127029834672,93.62190178108996,focus
b,93.65193572503357,93.81636070945116,focus
c,93.84481887983202,93.95232752349241,focus
d,93.99264326486264,94.10094241325442,focus
e,94.14679168775636,94.2890825396562,focus
a,94.39362922703731,94.4754250887572,focus
b,94.50319065649728,94.6705344836837,focus
c,94.70055131367191,94.807861480881,focus
d,94.85213630511498,94.95794563082472,focus
et,95.00672297955587,95.15530628800025,focus
